|,emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
,Constantine the Great,constantinei8,AE,Follis,316,316,Rome,3rd,null,3.72,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CT COM D N,,,✱/🌙//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,,"Ex. Solidus Numismatik Online Auction 21, Lot 607",WSF3,yes
,Constantine the Great,constantinei17,AE,Follis,316,316,Rome,3rd,null,3.72,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CT COM D N,,,✱/🌙//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand",RIC VII Rome 49,Rome Mint Sol,CNG Lot,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",,yes
,Constantine the Great,constantinei34,AE,Follis,316,316,Arelate,1st,null,3.04,18.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI IN-VI-CTO COMITI,,,(T over Star)/F//PARL,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing right, head left, raising right hand and holding globe in left hand",RIC VII Arelate 84,Clashed Dies,,Ex. Savoca eBay 2018,,yes
,Constantine the Great,constantinei6,AE,Follis,316,317,Rome,1st,null,3.10,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand; to left, captive wearing Phrygian cap",RIC VII Rome 52,Rome Mint Sol,,Ex. Victor Clark 2019,,yes
,Constantine the Great,constantinei42,AE,Follis,316,317,Rome,1st,null,2.94,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,-/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding Victory on globe in left hand; to left, captive",RIC VII Rome 55,Rome Mint Sol,,Ex. Romae Aeternae Numismatics 2019,,yes
,Constantine the Great,constantinei44,AE,Follis,317,317,Rome,2nd,null,3.09,20.1mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,,yes
,Constantine the Great,constantinei5,AE,Follis,317,317,Rome,4th,null,3.84,20.5mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,VU2H,yes
,Constantine the Great,constantinei24,AE,Follis,317,317,Rome,4th,null,3.85,19.0mm,12H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,A/-//RQ,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 78,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,URR9,
,Constantine the Great,constantinei9,AE,Follis,317,317,Treveri,2nd,null,3.70,20.0mm,12H,CONSTANTINVS P F AVG,SOLI INVIC-TO COMITI,,,T/F//BTR,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys spread, standing right, head left, raising right hand and holding globe in left hand",RIC VII Treveri 135,,,Ex. Carpe Diem Nvmismatics 2017,RXWB,
,Constantine the Great,constantinei15,AE,Follis,317,318,Rome,1st,null,4.00,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(wreath)/-//RP,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 97,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2017,UQCE,yes
,Constantine the Great,constantinei40,AE,Follis,317,318,Rome,3rd,null,3.25,21.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(wreath)/-//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 97,Rome Mint Sol,,Ex. Carpe Diem Nvmismatics 2018,,yes
,Constantine the Great,constantinei23,AE,Follis,317,318,Ticinum,2nd,null,2.64,19.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INVI-C-TO COMITI,,,P/-//ST,"Bust of Constantine I, laureate, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Ticinum 68,,,"Ex. FSR Auction 104, Lot 398",4FXH,yes
,Constantine the Great,constantinei46,AE,Follis,318,318,Rome,2nd,null,3.25,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(T in wreath)/-//RS,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 136,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei43,AE,Follis,318,318,Rome,3rd,null,3.20,20.0mm,6H,IMP CONSTANTINVS P F AVG,SOLI INV-I-CTO COMITI,,,(T in wreath)/-//RT,"Bust of Constantine I, laureate, draped, cuirassed, right","Sol, radiate, chlamys draped across left shoulder, standing left, raising right hand and holding globe in left hand",RIC VII Rome 136,Rome Mint Sol,,Ex. Carpe Diem Numismatics 2018,,yes
,Constantine the Great,constantinei56,AE,Follis,318,318,Siscia,5th,null,3.26,20.0mm,12H,IMP CONSTANTINVS AVG,VICT LAETAE PRINC PERP,,,-/-//ϵSIS,"Cuirassed bust left, wearing crested helmet decorated with two large stars and vine scroll, holding spear over right shoulder","Two Victories standing facing one another, holding shield inscribed VOT/PR in two lines over decorated altar",RIC VII Siscia 49,Constantine VLPP,,"Ex. CNG Coin Shop February, 2018",,yes
,Constantine the Great,constantinei66,AE,Follis,319,319,London,1st,null,3.29,17.7mm,6H,IMP CONSTANTI-NVS AVG,VICTORIAE LAETAE PRINC PERP,,,(column)//PLN,"Bust of Constantine I, wearing high-crested helmet, cuirassed, left, spear across right shoulder","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column","RIC VII Londinium 156, Cloke & Toone 9.01.004",Constantine VLPP,,Ex. Mike Vosper 2019,,yes
,Constantine the Great,constantinei62,AE,Follis,319,319,Arelate,3rd,null,2.90,17.0mm,12H,IMP CONSTAN-TINVS AVG,VICTORIAE LAETAE PRINC PERP,,,-/-//TARL,"Bust of Constantine I, wearing high-crested helmet, cuirassed, left, spear across right shoulder","Two Victories, winged, draped, facing each other, holding a shield inscribed VOT/PR supported by a column",RIC VII Arelate 192,Constantine VLPP,,Ex. Victors Imperial Coins 2019,,yes
,Constantine the Great,constantinei65,AE,Follis,319,319,Treveri,1st,null,3.38,18.8mm,12H,CONSTANTINVS MAX AVG,VICTORIAE LAET PRIN PERP,,,✱//•PTR,"Bust of Constantine I, laureate, helmeted, cuirassed, right","Two Victories, winged, draped, standing facing each other, holding a shield inscribed VOT/PR supported by an altar",RIC VII Treveri 226,Constantine VLPP,,"Ex. Forum (2019), Ex. Beast Coins VLPP Collection, Ex. Forum (2003), Ex. Aiello Collection",,yes
,Licinius II,liciniusii1,AE,Follis,317,320,Nicomedia,4th,null,3.10,20.0mm,12H,D N VAL LICIN LICINIVS NOB C,PROVIDEN-TIAE CAESS,,,(palm branch left)/(• on Δ)//SMN,"Bust of Licinius II, laureate, draped, cuirassed, right","Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand",RIC VII Rome 97,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Classical Coins",,
,Licinius I,liciniusi4,AE,Follis,321,323,Antioch,7th,null,3.45,19.0mm,12H,IMP C VAL LICIN LICINIVS P F AVG,IOVI CONS-ERVATORI,,,-/(X on IIΓ)//SMANTZ,"Bust of Licinius, radiate, draped, cuirassed, right","Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand; to left, eagle with wreath; to right, captive",RIC VII Rome 97,,,Ex. Carpe Diem Nvmismatics 2018,AX6Z,
,Constantine II,constantineii2,AE,Follis,321,324,Siscia,2nd,null,2.79,20.5mm,6H,CONSTANTINVS IVN NOB C,CAESARVM NOSTRORVM,,,-/-//BSIS(sunrise),"Head of Constantine II, laureate, right",VOT/X within a laurel wreath,RIC VII Siscia 182,,,"Ex. Frank S. Robinson Auction 107, Lot 381",,yes
,Constantine II,constantineii1,AE,Follis,323,324,Treveri,2nd,null,3.89,20.0mm,7H,CONSTANTINVS IVN NOB C,CAESARVM NOSTRORVM,,,-/-//STR,Laureate and cuirassed bust right,Laurel wreath enclosing VOT X,RIC VII Treveri 433,Clashed Dies,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 271, Ex. Severus Alexander Collection",,yes
,Constantine the Great,constantinei54,AE,Follis,323,324,Treveri,2nd,null,2.97,19.96mm,6H,CONSTAN-TINVS AVG,SARMATIA DEVICTA,,,-/-//STR(crescent),"Head of Constantine I, laureate, right","Victory, winged, draped, advancing right, holding trophy in right hand and pushing seated captive with left hand",RIC VII Treveri 435,,,Ex. Marc R. Breitsprecher Coins 2019,,yes
,Fausta,fausta1,AE,Follis,324,325,Lugdunum,1st,null,3.18,20.1mm,12H,FLAV • MAX • FAVSTA AVG,SALVS REI-PVBLICAE,,,-/-//PLG,"Bust of Fausta, waved hair, mantled, right","Salus, veiled, draped, standing front, head left, holding two children in her arms",RIC VII Lugdunum 235,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,yes
,Constantius II,constantiusii10,AE,Follis,326,326,Treveri,2nd,null,2.51,17.5mm,6H,FL IVL CONSTANTIVS NOB C,PROVIDEN-TIAE CAESS,,,-/-//PTR(dot on crescent),"Bust of Constantius II, laureate, draped, cuirassed, left","Camp gate with two turrets, without doors; star above",RIC VII Treveri 480,,,Ex. Mike Vosper 2019,,yes
,Constantine II,constantineii4,AE,Follis,326,326,Treveri,2nd,null,3.15,20.0mm,6H,CONSTANTINVS IVN NOB C,PROVIDEN-TIAE CAESS,,,-/-//STR(dot on crescent),"Bust of Constantine II, laureate, draped, cuirassed, left","Camp gate with two turrets, without doors; star above",RIC VII Treveri 479,,,"Ex. Toronto Coin Expo October 2019, Ex. George Cook",,yes
,Constantine the Great,constantinei2,AE,Follis,328,328,Constantinople,2nd,null,3.08,19.74mm,7H,CONSTANTI-NVS MAX AVG,CONSTANTINI-ANA DAFNE,,,B/-//CONS,"Bust of Constantine I, rosette-diademed, draped, cuirassed, facing right","Victory, winged, draped, seated left on cippus, head right, holding palm in each hand; before her, trophy; at foot of trophy, kneeling captive, head turned, being spurned by Victory",RIC VII Constantinople 35,,,Ex. Agora Auctions 67 Lot 322,MXY4,yes
,Constantius II,constantiusii5,AE,Follis,328,329,Siscia,4th,null,3.22,19.00mm,6H,FL IVL CONSTANTIVS NOB C,PROVIDEN-TIAE CAESS,,,-/-//ΔSIS(two crescents),"Laureate, draped, and cuirassed bust left",Camp gate with two turrets; star above,RIC VII Siscia 217,,,"Ex. CNG Auction 262, Lot 394, Ex. Elliott-Kent Collection",,
,Constantius II,constantiusii11,AE,Half-Follis,330,331,Arelate,2nd,null,2.39,17.0mm,12H,FL IVL CONSTANTIVS NOB C,GLOR-IA EXERC-ITVS,,,✱//SCONST,"Bust of Constantius II, laureate, draped, cuirassed, right","Two soldiers, helmeted, draped, cuirassed, standing facing each other, each holding spear in outer hand and resting inner hand on shield; between them, two standards",RIC VII Arelate 347,,,"Ex. Ancient & Medieval Coins Canada Auction 2, Lot 257, Ex. TheRed Collection",,yes
,Constantinople Commemorative,commem4,AE,Half-Follis,330,331,Lugdunum,1st,null,2.87,16.0mm,12H,CONSTANTINOPOLIS,-,,,-/-//•PLG,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Lugdunum 246,,,Ex. YOC (Pete),JWDZ,yes
,Constantinople Commemorative,commem5,AE,Half-Follis,330,333,Thessaloniki,4th,null,2.60,19.0mm,12H,CONSTANTINOPOLIS,-,,,-/-//SMTSΔ,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Thessalonica 188246,,,Ex. Victor's Imperial Coins 2019,,yes
,Rome Commemorative,commem3,AE,Half-Follis,332,332,Arelate,1st,null,2.76,17.0mm,12H,VBRS ROMA,-,,,-/-//PCONST,"Bust of Roma, helmeted, wearing imperial cloak, left","She-wolf, standing left, suckling twins; above, two stars with palm branch left in between",RIC VII Arelate 362,,,Ex. YOC (Pete),M84G,yes
,Rome Commemorative,commem2,AE,Half-Follis,332,333,Treveri,1st,null,2.02,18.5mm,6H,VRBS ROMA,-,,,-/-//TR•P,"Bust of Roma, helmeted, wearing imperial cloak, left","She-wolf, standing left, suckling twins; above, two stars",RIC VII Treveri 542,,,Ex. YOC (Pete),5QWU,yes
,Constantinople Commemorative,commem6,AE,Half-Follis,332,333,Treveri,1st,null,2.20,17.24mm,12H,CONSTAN-TINOPOLIS,-,,,-/-//TRP✱,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Treveri 548,,,Ex. Marc R. Breitsprecher Coins 2019,,yes
,Constantinople Commemorative,commem1,AE,Half-Follis,334,335,Aquileia,2nd,null,2.46,18.0mm,6H,CONSTANTINOPOLIS,-,,,-/-//AQS,"Bust of Constantinopolis, laureate, helmeted, wearing imperial cloak, left, holding reversed spear in right hand","Victory, winged, draped, standing left on prow, holding spear in right hand and shield in left hand",RIC VII Aquileia 123,,,Ex. YOC (Pete),DP6A,yes
,Constantius II,constantiusii7,AE,Follis,347,348,Antioch,8th,null,1.95,16.5mm,6H,D N CONSTAN-TIVS P F AVG,VOT/XX/MVLT/XXX,,,-/-//SMANH,"Head of Constantius II, pearl-diademed, right",Legend within a wreath,RIC VIII Antioch 113,,,"Ex. FSR Auction 109, Lot 358",88SJ,
,Constantius II,constantiusii8,AE,Maiorina,348,350,Rome,2nd,null,5.15,24.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP REPARATIO,,,B/-//RB,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Constantius II, draped, cuirassed, standing left on galley, holding phoenix on globe in right hand and standard with Chi-Rho on banner in left hand; steering the ship, seated Victory",RIC VIII Rome 115,,,Ex. London Ancient Coins 2019,CTVT,
,Constans I,constansi1,AE,Maiorina,348,350,Antioch,4th,null,5.50,24.0mm,12H,D N CONSTA-NS P F AVG,FEL TEMP REPARATIO,,,✱/-//ANΓ,"Bust of Constans, pearl-diademed, draped, cuirassed, right","Constans, draped, cuirassed, standing left on galley, holding phoenix on globe in right hand and standard with Chi-Rho on banner in left hand; steering the ship, seated Victory",RIC VIII Antioch 124,,,Ex. Victor Clark 2019,FMBF,yes
,Constans I,constansi2,AE,Maiorina,348,350,Rome,6th,null,6.05,23.0mm,6H,D N CONSTA-NS P F AVG,FEL TEMP REPARATIO,,,S/-//RS,"Bust of Constans, laureate, rosette-diademed, draped, cuirassed, right","Constans, draped, cuirassed, standing left on galley, holding phoenix on globe in right hand and standard with Chi-Rho on banner in left hand; steering the ship, seated Victory",RIC VIII Rome 134,,,Ex. eBay 2019,BTVD,
,Decentius,decentius1,AE,Maiorina,351,352,Rome,6th,null,4.23,22.5mm,12H,MAG DECENTI-VS NOB CAES,VICT DD NN AVG ET CAES,,,-/-//R✱ς,"Bust of Decentius, bareheaded, cuirassed, right; Γ behind bust","Two Victories, winged, draped, standing facing each other, holding between them wreath inscribed VOT/V/MVLT/X surmounted by Chi-Rho",RIC VIII Rome 223,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of)",NMXN,yes
,Constantius II,constantiusii9,AE,Maiorina,351,354,Cyzicus,3rd,null,5.68,22.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,Γ/-//SMKΓ,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing pointed cap, facing soldier, raising right arm",RIC VIII Cyzicus 93a,,,Ex. Budgies-Beak eBay 2019,ZHGY,yes
,Constantius II,constantiusii6,AE,Maiorina,350,355,Thessaloniki,4th,null,4.40,25.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,A/-//TSΔ,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right; A behind bust","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing a pointed cap, sitting right, raising both hands",RIC VIII Thessalonica 123,,,Ex. Glenn Simonel eBay 2019,ELXP,yes
,Constantius II,constantiusii1,AE,Maiorina,350,355,Antioch,7th,null,6.20,24.0mm,6H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,Γ/-//ANZ,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing cap, facing soldier, extending right arm",RIC VIII Antioch 132,,,"Ex. Dr. Busso Peus Nachf E-Auktion 420 Teil 2, Lot 6360",9QLA,yes
,Constantius II,constantiusii2,AE,Maiorina,350,355,Antioch,8th,null,4.82,21.0mm,12H,D N CONSTAN-TIVS P F AVG,FEL TEMP RE-PARATIO,,,Γ/-//ANH,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman wearing cap, facing soldier, extending right arm",RIC VIII Antioch 132,,,Ex. Savoca eBay 2018,RJGE,yes
,Constantius II,constantiusii4,AE,Siliqua,353,355,Arelate,2nd,null,2.18,19.0mm,11H,D N CONSTAN-TIVS P F AVG,VOTIS/XXX/MVLTIS/XXXX within a wreath,,,-/-//SCON,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right",-,RIC VIII Arelate 207,,,"Ex. CNG eAuction 440, Lot 521, Ex. 1887 East Harptree, Somerset Hoard (IRBCH 1424)",T8PB,
,Constantius II,constantiusii3,AE,Maiorina,355,361,Rome,7th,null,2.25,18.0mm,6H,D N CONSTAN-TIVS P F AVG,FEL TEMP REPARATIO,,,-/-//R(wreath)Z,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right","Soldier, helmeted, draped, cuirassed, advancing left, spearing fallen horseman with right hand and wearing shield on left arm; shield on ground to right; horseman facing soldier, extending left arm",RIC VIII Rome 309,,,Ex. RomanLode 2019,4S9F,yes
,Julian II the Apostate,julianii,AE,Maiorina,361,363,Antioch,1st,null,8.46,30.0mm,6H,D N FL CL IVLI-ANVS P F AVG,SECVRITAS REI PVB,,,-/-//(palm branch left)ANTA(palm branch right),"Bust of Julian, pearl-diademed, draped, cuirassed, right","Bull, standing right, head front; above, two stars",RIC VIII Antioch 216,,,Ex. CNG Auction 406 Lot 797,RPUP,yes
,Valentinian I,valentiniani2,AE,Centenionalis,367,375,Siscia,null,null,2.13,18.0mm,6H,D N VALENTINI-ANVS P F AVG,SECVRITAS-REIPVBLICAE,,,(R on Ắ)/F//ΓSISCA•,"Bust of Valentinian I, pearl-diademed, draped and cuirassed, right","Victory advancing left, holding wreath and palm",RIC IX Siscia 15A,,,Ex. FSR Coin Bargain Bin 2017,6GQ5,yes
,Valens,valensi,AE,Centenionalis,367,375,Siscia,null,null,2.43,17.0mm,6H,D N VALEN-S P F AVG,SECVRITAS-REIPVBLICAE,,,(✱ on P)/M//ASISC," of Valens, pearl-diademed, draped and cuirassed, right","Victory advancing left, holding wreath and palm",RIC IX Siscia 15B,,,Ex. FSR Coin Bargain Bin 2017,8A74,yes
,Arcadius,arcadius1,AE,Maiorina,378,383,Constantinople,3rd,null,5.54,22.6mm,12H,D N ARCAD-IVS P F AVG,GLORIA RO-MANORVM,,,-/-//CONSΓ✱,"Bust of Arcadius, pearl-diademed, draped and cuirassed, right, holding spear and shield in front; above, hand of God holding wreath","Emperor, head left, standing facing, holding standard in right hand and resting left on shield; to left, kneeling captive, head right",RIC IX Constantinople 53A,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",PK9Y,yes
,Theodosius I,theodosiusi,AE,Maiorina,392,395,Cyzicus,3rd,null,5.56,23.0mm,12H,D N THEODO-SIVS P F AVG,GLORIA-ROMANORVM,,,-/-//SMKΓ,"Bust of Theodosius I, pearl-diademed, draped and cuirassed, right","Emperor, head right, standing facing, holding standard and globe",RIC IX Cyzicus 27A,,,Ex. Cayon Subastas 42 Lot 2697,NCUS,yes
,Marcian,marcian1,AE,Nummus,450,457,Nicomedia,null,null,0.83,10.5mm,6H,D N MARCIANVS P F AVG,GLORIA-ROMANORVM,,,-/-//[NIC],"Bust of Marcian, pearl-diademed, draped and cuirassed, right",Marcian's monogram in wreath,RIC X Marcian 548,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",UXV5,yes
provincial,Nero,nero1,AE,21,41,54,Antioch,null,null,7.20,21.0mm,12H,IM NER CLAV CAESAR,S C,,,null,Laureate head right,Large S C within wreath,RPC I 4297,,,"Ex. JAZ Numismatics Auction 111 Lot 3, Ex. JWT (Jack) Secret Saturnalia 2017",,
,Antoninus Pius,antoninuspius2,AE,Drachm,144,145,Alexandria,null,null,25.41,34.0mm,12H,AVTKTAIΛAΔP ANTⲰNINOC CЄB,-,,,L/H//-,"Bust of Antoninus Pius, laureate, facing right","Serapis enthroned left within distyle temple, Kerberos at his feet, pediment decorated with disk, date across field","Köln 1486, Dattari 3057",,,"Ex. Robert L. Grover Collection, Art Institute of Chicago (Gemini XIII, 6 April 2017), lot 463 (part of), Ex. CNG Auction 401 Lot 323",,yes
,Aurelian,aurelian1,AE,Tetradrachm,274,275,Alexandria,null,null,8.77,21.0mm,12H,Α Κ Λ ∆ΟΜ ΑΥΡΗΛΙΑΝΟC CΕΒ,ETOVC S,,,-,Laureate and cuirassed bust right,"Eagle standing right, wreath in beak, palm across shoulder, ETOVC S (year 6)",Dattari 5488,,,Ex. Busso Nachf Store 2018,,yes
,Diocletian,diocletian2,AE,Tetradrachm,287,288,Alexandria,null,null,7.69,22.0mm,12H,A K ΓOYA DIOKLHTIANOC CЄB,-,,,-,"Bust of Diocletian, laureate, cuirassed right",Dikaiosyne standing left holding scales & cornucopia,Milne 4770,,,"Ex. FSRCoin Bargain List, March 2018",,yes
,Maximian,maximian8,AE,Tetradrachm,291,292,Alexandria,null,null,6.82,20.5mm,12H,ΜΑΞΙΜΙ-ΑΝΟC CΕΒ,L-✱/Z,,,-,"Laureate, draped and cuirassed bust right, as seen from the back - both ties turned backwards","Nike flying right holding wreath out in right hand, and a palm over shoulder in left hand",Milne 5031,,,"Ex. Frank S. Robinson Auction 107, Lot 352",,yes
byzantine,Anastasius,anastasius1,AE,Follis,491,507,Constantinople,null,null,8.91,25.0mm,6H,D N ANASTASIVS P P AVG,-,,,CON,"Diademed, draped, and cuirassed bust right","Large M with star either side, cross above",SBCV 15,,,"Ex. FSRCoin Bargain List, March 2018",MZJK,yes
,Anastasius,anastasius2,AE,Half-Follis,512,517,Constantinople,4th,null,7.98,26.0mm,6H,D N ANASTASIVS P P AVG,-,,,-,"Diademed, draped, and cuirassed bust right","Large K, long cross to left, Δ Officina to the right",SBCV 25,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",CWSG,yes
,Justinian the Great,justiniani7,AE,Follis,538,539,Cyzicus,null,null,11.68,32.8mm,12H,D N IVSTINIANVS PP AVG,-,,,YZ,"Emperor, pearl diademed, draped, cuirassed bust right","Large K, ANNO to left, cross above, regnal year to right",SBCV 208,,,Ex. eBay 2019,,yes
